RECID,XMLRECORD
225,"<row id=""225"" xml:space=""preserve""><c1>C100225</c1><c2>Camille</c2><c3>Blondel</c3><c5>8, boulevard Perrot</c5><c7>Gauthier</c7><c8>65434</c8><c31>20171103</c31><c48>TN0000225</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
226,"<row id=""226"" xml:space=""preserve""><c1>C100226</c1><c2>Guy</c2><c3>Weiss</c3><c5>2, boulevard Blanc</c5><c7>Brianddan</c7><c8>44975</c8><c31>20210131</c31><c48>TN0000226</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
227,"<row id=""227"" xml:space=""preserve""><c1>C100227</c1><c2>Lucas</c2><c3>Gillet</c3><c5>15, boulevard de Rémy</c5><c7>Saint Susannec</c7><c8>67295</c8><c31>20230408</c31><c48>TN0000227</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
228,"<row id=""228"" xml:space=""preserve""><c1>C100228</c1><c2>Céline</c2><c3>Navarro</c3><c5>753, rue Poulain</c5><c7>Fernandez</c7><c8>25395</c8><c31>20080620</c31><c48>TN0000228</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
229,"<row id=""229"" xml:space=""preserve""><c1>C100229</c1><c2>Aimé</c2><c3>Chrétien</c3><c5>rue de Merle</c5><c7>Gosselin-les-Bains</c7><c8>68793</c8><c31>20080328</c31><c48>TN0000229</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
230,"<row id=""230"" xml:space=""preserve""><c1>C100230</c1><c2>Pénélope</c2><c3>David</c3><c5>23, rue Roland Vaillant</c5><c7>Dufour</c7><c8>40952</c8><c31>20101015</c31><c48>TN0000230</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
231,"<row id=""231"" xml:space=""preserve""><c1>C100231</c1><c2>Aimée</c2><c3>Perrin</c3><c5>32, boulevard Benoit</c5><c7>Normandnec</c7><c8>93870</c8><c31>20200831</c31><c48>TN0000231</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
232,"<row id=""232"" xml:space=""preserve""><c1>C100232</c1><c2>Pénélope</c2><c3>Morvan</c3><c5>7, avenue Jacqueline Mace</c5><c7>Fischer</c7><c8>47196</c8><c31>20100820</c31><c48>TN0000232</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
233,"<row id=""233"" xml:space=""preserve""><c1>C100233</c1><c2>Margot</c2><c3>Noël</c3><c5>706, boulevard de Duval</c5><c7>Rémy-sur-Le Gall</c7><c8>59177</c8><c31>20111211</c31><c48>TN0000233</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
234,"<row id=""234"" xml:space=""preserve""><c1>C100234</c1><c2>Benjamin</c2><c3>Breton</c3><c5>65, avenue Adrienne Chrétien</c5><c7>Rousseau</c7><c8>41572</c8><c31>20250519</c31><c48>TN0000234</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
235,"<row id=""235"" xml:space=""preserve""><c1>C100235</c1><c2>Colette</c2><c3>Gomez</c3><c5>11, chemin Lucy Costa</c5><c7>Chrétiennec</c7><c8>48265</c8><c31>20111220</c31><c48>TN0000235</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
236,"<row id=""236"" xml:space=""preserve""><c1>C100236</c1><c2>Victor</c2><c3>Cousin</c3><c5>702, rue Poirier</c5><c7>Bousquet</c7><c8>73391</c8><c31>20140818</c31><c48>TN0000236</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
237,"<row id=""237"" xml:space=""preserve""><c1>C100237</c1><c2>Geneviève</c2><c3>Berthelot</c3><c5>82, chemin de Bazin</c5><c7>Hoareaudan</c7><c8>86985</c8><c31>20100104</c31><c48>TN0000237</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
238,"<row id=""238"" xml:space=""preserve""><c1>C100238</c1><c2>Alain</c2><c3>Bonnin</c3><c5>688, rue Lemonnier</c5><c7>Teixeira</c7><c8>10603</c8><c31>20240526</c31><c48>TN0000238</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
239,"<row id=""239"" xml:space=""preserve""><c1>C100239</c1><c2>Marcelle</c2><c3>Petit</c3><c5>4, rue Le Roux</c5><c7>Letellier</c7><c8>41422</c8><c31>20060913</c31><c48>TN0000239</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
240,"<row id=""240"" xml:space=""preserve""><c1>C100240</c1><c2>Antoine</c2><c3>Rocher</c3><c5>301, rue Lemoine</c5><c7>Arnaud</c7><c8>11174</c8><c31>20130609</c31><c48>TN0000240</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
241,"<row id=""241"" xml:space=""preserve""><c1>C100241</c1><c2>Olivier</c2><c3>Lacroix</c3><c5>927, boulevard Gilles Goncalves</c5><c7>Leroy</c7><c8>92346</c8><c31>20200118</c31><c48>TN0000241</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
242,"<row id=""242"" xml:space=""preserve""><c1>C100242</c1><c2>Astrid</c2><c3>Masse</c3><c5>9, boulevard Parent</c5><c7>Saint Michel</c7><c8>45302</c8><c31>20180823</c31><c48>TN0000242</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
243,"<row id=""243"" xml:space=""preserve""><c1>C100243</c1><c2>Susanne</c2><c3>Besnard</c3><c5>6, boulevard de Menard</c5><c7>Briand-sur-Mercier</c7><c8>08867</c8><c31>20130225</c31><c48>TN0000243</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
244,"<row id=""244"" xml:space=""preserve""><c1>C100244</c1><c2>Jacqueline</c2><c3>Techer</c3><c5>81, rue Foucher</c5><c7>Bernard-sur-Mer</c7><c8>10923</c8><c31>20230209</c31><c48>TN0000244</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
245,"<row id=""245"" xml:space=""preserve""><c1>C100245</c1><c2>Thérèse</c2><c3>Laine</c3><c5>5, rue Inès Renaud</c5><c7>BlinVille</c7><c8>12180</c8><c31>20250202</c31><c48>TN0000245</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
246,"<row id=""246"" xml:space=""preserve""><c1>C100246</c1><c2>Étienne</c2><c3>Lejeune</c3><c5>17, avenue Léon Roux</c5><c7>Thierry-sur-Mer</c7><c8>09754</c8><c31>20200709</c31><c48>TN0000246</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
247,"<row id=""247"" xml:space=""preserve""><c1>C100247</c1><c2>Marthe</c2><c3>Delmas</c3><c5>87, chemin Brunet</c5><c7>Gallet-sur-Gérard</c7><c8>08965</c8><c31>20060712</c31><c48>TN0000247</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
248,"<row id=""248"" xml:space=""preserve""><c1>C100248</c1><c2>Roland</c2><c3>Daniel</c3><c5>38, avenue Seguin</c5><c7>Malletdan</c7><c8>66518</c8><c31>20180713</c31><c48>TN0000248</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
249,"<row id=""249"" xml:space=""preserve""><c1>C100249</c1><c2>Aimée</c2><c3>Riou</c3><c5>94, chemin de Carpentier</c5><c7>Lévy</c7><c8>28489</c8><c31>20150506</c31><c48>TN0000249</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
250,"<row id=""250"" xml:space=""preserve""><c1>C100250</c1><c2>Virginie</c2><c3>Brunet</c3><c5>1, chemin Océane Schneider</c5><c7>Sainte Margot-sur-Mer</c7><c8>57621</c8><c31>20220206</c31><c48>TN0000250</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
251,"<row id=""251"" xml:space=""preserve""><c1>C100251</c1><c2>Valérie</c2><c3>Thibault</c3><c5>rue Arnaude Raynaud</c5><c7>Sainte Gérardboeuf</c7><c8>61573</c8><c31>20250725</c31><c48>TN0000251</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
252,"<row id=""252"" xml:space=""preserve""><c1>C100252</c1><c2>Frédéric</c2><c3>Gros</c3><c5>60, rue Alex Grégoire</c5><c7>Verdier</c7><c8>24146</c8><c31>20210502</c31><c48>TN0000252</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
253,"<row id=""253"" xml:space=""preserve""><c1>C100253</c1><c2>Marianne</c2><c3>Laurent</c3><c5>rue de Monnier</c5><c7>Delaunay-sur-Mer</c7><c8>34742</c8><c31>20130423</c31><c48>TN0000253</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
254,"<row id=""254"" xml:space=""preserve""><c1>C100254</c1><c2>Margot</c2><c3>Bourdon</c3><c5>63, chemin Benoît Lenoir</c5><c7>MarieBourg</c7><c8>09661</c8><c31>20130727</c31><c48>TN0000254</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
255,"<row id=""255"" xml:space=""preserve""><c1>C100255</c1><c2>Anouk</c2><c3>Chartier</c3><c5>rue Paul Clément</c5><c7>Prévostnec</c7><c8>15661</c8><c31>20170602</c31><c48>TN0000255</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
256,"<row id=""256"" xml:space=""preserve""><c1>C100256</c1><c2>Manon</c2><c3>Bouvet</c3><c5>avenue Jean Joseph</c5><c7>Salmon-sur-Mer</c7><c8>97245</c8><c31>20130515</c31><c48>TN0000256</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
257,"<row id=""257"" xml:space=""preserve""><c1>C100257</c1><c2>Éric</c2><c3>Durand</c3><c5>87, avenue Margot Maréchal</c5><c7>Aubert</c7><c8>10568</c8><c31>20240630</c31><c48>TN0000257</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
258,"<row id=""258"" xml:space=""preserve""><c1>C100258</c1><c2>Anouk</c2><c3>Durand</c3><c5>482, avenue de Bertrand</c5><c7>Pasquier-sur-Renaud</c7><c8>93557</c8><c31>20140430</c31><c48>TN0000258</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
259,"<row id=""259"" xml:space=""preserve""><c1>C100259</c1><c2>Mathilde</c2><c3>Lacombe</c3><c5>88, boulevard André David</c5><c7>Saint Patricknec</c7><c8>53422</c8><c31>20090218</c31><c48>TN0000259</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
260,"<row id=""260"" xml:space=""preserve""><c1>C100260</c1><c2>Susanne</c2><c3>Daniel</c3><c5>rue Muller</c5><c7>Sanchez</c7><c8>83910</c8><c31>20221201</c31><c48>TN0000260</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
261,"<row id=""261"" xml:space=""preserve""><c1>C100261</c1><c2>Matthieu</c2><c3>Courtois</c3><c5>7, rue de Payet</c5><c7>Leconte</c7><c8>70834</c8><c31>20211219</c31><c48>TN0000261</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
262,"<row id=""262"" xml:space=""preserve""><c1>C100262</c1><c2>Marc</c2><c3>Benard</c3><c5>avenue de Gautier</c5><c7>Auger-sur-Pineau</c7><c8>08129</c8><c31>20140729</c31><c48>TN0000262</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
263,"<row id=""263"" xml:space=""preserve""><c1>C100263</c1><c2>Benjamin</c2><c3>Renaud</c3><c5>5, rue de Le Roux</c5><c7>Sainte Daniel-les-Bains</c7><c8>15969</c8><c31>20090915</c31><c48>TN0000263</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
264,"<row id=""264"" xml:space=""preserve""><c1>C100264</c1><c2>Noël</c2><c3>Merle</c3><c5>12, rue Alphonse Guillou</c5><c7>Renaud-sur-Chauveau</c7><c8>71518</c8><c31>20100405</c31><c48>TN0000264</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
265,"<row id=""265"" xml:space=""preserve""><c1>C100265</c1><c2>Aurélie</c2><c3>Lacroix</c3><c5>14, avenue Hoareau</c5><c7>Blot</c7><c8>14342</c8><c31>20211205</c31><c48>TN0000265</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
266,"<row id=""266"" xml:space=""preserve""><c1>C100266</c1><c2>Audrey</c2><c3>Barbe</c3><c5>66, avenue Chantal Bonnin</c5><c7>Dupré</c7><c8>28322</c8><c31>20250516</c31><c48>TN0000266</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
267,"<row id=""267"" xml:space=""preserve""><c1>C100267</c1><c2>Christophe</c2><c3>Rocher</c3><c5>74, avenue Arnaude Neveu</c5><c7>Berthelot</c7><c8>97275</c8><c31>20260219</c31><c48>TN0000267</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
268,"<row id=""268"" xml:space=""preserve""><c1>C100268</c1><c2>Charlotte</c2><c3>Leconte</c3><c5>83, rue Dominique Nguyen</c5><c7>Baron</c7><c8>51589</c8><c31>20200511</c31><c48>TN0000268</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
269,"<row id=""269"" xml:space=""preserve""><c1>C100269</c1><c2>Éléonore</c2><c3>Guichard</c3><c5>15, chemin Jean Martin</c5><c7>Blot</c7><c8>27643</c8><c31>20101003</c31><c48>TN0000269</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
270,"<row id=""270"" xml:space=""preserve""><c1>C100270</c1><c2>Constance</c2><c3>Arnaud</c3><c5>58, rue Barthelemy</c5><c7>Saint ThibaultBourg</c7><c8>01889</c8><c31>20060427</c31><c48>TN0000270</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
271,"<row id=""271"" xml:space=""preserve""><c1>C100271</c1><c2>Odette</c2><c3>Berthelot</c3><c5>70, boulevard de Collin</c5><c7>LecomteBourg</c7><c8>28187</c8><c31>20181020</c31><c48>TN0000271</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
272,"<row id=""272"" xml:space=""preserve""><c1>C100272</c1><c2>Martin</c2><c3>Merle</c3><c5>21, avenue Evrard</c5><c7>Pascal-sur-Mer</c7><c8>27412</c8><c31>20180308</c31><c48>TN0000272</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
273,"<row id=""273"" xml:space=""preserve""><c1>C100273</c1><c2>Jeanne</c2><c3>Mathieu</c3><c5>25, boulevard de Mace</c5><c7>Michelboeuf</c7><c8>39679</c8><c31>20151206</c31><c48>TN0000273</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
274,"<row id=""274"" xml:space=""preserve""><c1>C100274</c1><c2>Nicole</c2><c3>Guillon</c3><c5>2, rue de Peron</c5><c7>Sainte Emmanuelledan</c7><c8>40599</c8><c31>20230225</c31><c48>TN0000274</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
275,"<row id=""275"" xml:space=""preserve""><c1>C100275</c1><c2>Joseph</c2><c3>Courtois</c3><c5>avenue Bernier</c5><c7>AubertBourg</c7><c8>60954</c8><c31>20201111</c31><c48>TN0000275</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
276,"<row id=""276"" xml:space=""preserve""><c1>C100276</c1><c2>Christine</c2><c3>Guillot</c3><c5>boulevard Michèle Roy</c5><c7>Leleu</c7><c8>36242</c8><c31>20110722</c31><c48>TN0000276</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
277,"<row id=""277"" xml:space=""preserve""><c1>C100277</c1><c2>Michelle</c2><c3>Vallée</c3><c5>87, rue de Bouvier</c5><c7>Garnier</c7><c8>88397</c8><c31>20140107</c31><c48>TN0000277</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
278,"<row id=""278"" xml:space=""preserve""><c1>C100278</c1><c2>Valentine</c2><c3>Raynaud</c3><c5>chemin de De Sousa</c5><c7>Blanchard</c7><c8>61671</c8><c31>20240418</c31><c48>TN0000278</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
279,"<row id=""279"" xml:space=""preserve""><c1>C100279</c1><c2>Anouk</c2><c3>Guillon</c3><c5>48, rue Lorraine Mace</c5><c7>Roche-la-Forêt</c7><c8>25559</c8><c31>20180110</c31><c48>TN0000279</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
280,"<row id=""280"" xml:space=""preserve""><c1>C100280</c1><c2>Michèle</c2><c3>Giraud</c3><c5>rue Thibaut Diallo</c5><c7>Gonzalez</c7><c8>71811</c8><c31>20081215</c31><c48>TN0000280</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
281,"<row id=""281"" xml:space=""preserve""><c1>C100281</c1><c2>Nathalie</c2><c3>Andre</c3><c5>256, boulevard Ribeiro</c5><c7>Henry</c7><c8>71990</c8><c31>20101203</c31><c48>TN0000281</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
282,"<row id=""282"" xml:space=""preserve""><c1>C100282</c1><c2>Xavier</c2><c3>Mahe</c3><c5>5, boulevard Luce Pons</c5><c7>Chauvin</c7><c8>97124</c8><c31>20250913</c31><c48>TN0000282</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
283,"<row id=""283"" xml:space=""preserve""><c1>C100283</c1><c2>Georges</c2><c3>Boutin</c3><c5>82, avenue de Bertin</c5><c7>Dupontnec</c7><c8>94581</c8><c31>20250221</c31><c48>TN0000283</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
284,"<row id=""284"" xml:space=""preserve""><c1>C100284</c1><c2>Christiane</c2><c3>Nguyen</c3><c5>74, rue Gilles Mathieu</c5><c7>Mathieu</c7><c8>77867</c8><c31>20121205</c31><c48>TN0000284</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
285,"<row id=""285"" xml:space=""preserve""><c1>C100285</c1><c2>Nicolas</c2><c3>Loiseau</c3><c5>1, rue Charles Grenier</c5><c7>De Oliveira</c7><c8>22596</c8><c31>20200314</c31><c48>TN0000285</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
286,"<row id=""286"" xml:space=""preserve""><c1>C100286</c1><c2>Charles</c2><c3>Lemaire</c3><c5>8, rue René Allard</c5><c7>Dufour-sur-Fabre</c7><c8>17568</c8><c31>20080814</c31><c48>TN0000286</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
287,"<row id=""287"" xml:space=""preserve""><c1>C100287</c1><c2>Franck</c2><c3>Roy</c3><c5>avenue Diane Dumas</c5><c7>Guillaumenec</c7><c8>77800</c8><c31>20190223</c31><c48>TN0000287</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
288,"<row id=""288"" xml:space=""preserve""><c1>C100288</c1><c2>Simone</c2><c3>Renault</c3><c5>42, boulevard Marc Lucas</c5><c7>Bègue-sur-Mer</c7><c8>22382</c8><c31>20211019</c31><c48>TN0000288</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
289,"<row id=""289"" xml:space=""preserve""><c1>C100289</c1><c2>Aurore</c2><c3>Pierre</c3><c5>rue Rodrigues</c5><c7>Hamon</c7><c8>29374</c8><c31>20240501</c31><c48>TN0000289</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
290,"<row id=""290"" xml:space=""preserve""><c1>C100290</c1><c2>Guillaume</c2><c3>Lefebvre</c3><c5>rue de Bonnet</c5><c7>Thomas</c7><c8>11879</c8><c31>20230418</c31><c48>TN0000290</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
291,"<row id=""291"" xml:space=""preserve""><c1>C100291</c1><c2>Pénélope</c2><c3>Hoarau</c3><c5>54, avenue de Blanchet</c5><c7>Simondan</c7><c8>03864</c8><c31>20111211</c31><c48>TN0000291</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
292,"<row id=""292"" xml:space=""preserve""><c1>C100292</c1><c2>Élise</c2><c3>Verdier</c3><c5>70, chemin de Traore</c5><c7>Saint Christelleboeuf</c7><c8>14754</c8><c31>20060523</c31><c48>TN0000292</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
293,"<row id=""293"" xml:space=""preserve""><c1>C100293</c1><c2>Thérèse</c2><c3>Guibert</c3><c5>25, avenue de Hebert</c5><c7>Hubert</c7><c8>24578</c8><c31>20160430</c31><c48>TN0000293</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
294,"<row id=""294"" xml:space=""preserve""><c1>C100294</c1><c2>David</c2><c3>Navarro</c3><c5>boulevard Henry</c5><c7>Guichard</c7><c8>76837</c8><c31>20230326</c31><c48>TN0000294</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
295,"<row id=""295"" xml:space=""preserve""><c1>C100295</c1><c2>Grégoire</c2><c3>Lombard</c3><c5>1, chemin Bouvier</c5><c7>Lelièvre-sur-Mer</c7><c8>37719</c8><c31>20240802</c31><c48>TN0000295</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
296,"<row id=""296"" xml:space=""preserve""><c1>C100296</c1><c2>Antoine</c2><c3>Lenoir</c3><c5>79, boulevard de Regnier</c5><c7>Sainte Manon</c7><c8>43841</c8><c31>20080410</c31><c48>TN0000296</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
297,"<row id=""297"" xml:space=""preserve""><c1>C100297</c1><c2>Anne</c2><c3>Rodriguez</c3><c5>24, boulevard Delattre</c5><c7>Marie-les-Bains</c7><c8>41650</c8><c31>20230504</c31><c48>TN0000297</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
298,"<row id=""298"" xml:space=""preserve""><c1>C100298</c1><c2>Bernard</c2><c3>Becker</c3><c5>8, avenue Maryse Jacob</c5><c7>Saint Camille</c7><c8>45882</c8><c31>20170914</c31><c48>TN0000298</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
299,"<row id=""299"" xml:space=""preserve""><c1>C100299</c1><c2>Aimé</c2><c3>Boulay</c3><c5>5, rue Antoine</c5><c7>Sainte Astridnec</c7><c8>35277</c8><c31>20140429</c31><c48>TN0000299</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
300,"<row id=""300"" xml:space=""preserve""><c1>C100300</c1><c2>Astrid</c2><c3>Nguyen</c3><c5>boulevard Masson</c5><c7>Mace</c7><c8>37311</c8><c31>20060407</c31><c48>TN0000300</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
301,"<row id=""301"" xml:space=""preserve""><c1>C100301</c1><c2>Marcel</c2><c3>Petitjean</c3><c5>228, rue Patrick Da Costa</c5><c7>Delahaye-les-Bains</c7><c8>52501</c8><c31>20141027</c31><c48>TN0000301</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
302,"<row id=""302"" xml:space=""preserve""><c1>C100302</c1><c2>Christophe</c2><c3>Louis</c3><c5>boulevard Aimée François</c5><c7>Nicolas-sur-Hoareau</c7><c8>71304</c8><c31>20221027</c31><c48>TN0000302</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
303,"<row id=""303"" xml:space=""preserve""><c1>C100303</c1><c2>Émile</c2><c3>Perret</c3><c5>36, rue de Hoarau</c5><c7>Lagarde</c7><c8>58333</c8><c31>20260116</c31><c48>TN0000303</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
304,"<row id=""304"" xml:space=""preserve""><c1>C100304</c1><c2>Michèle</c2><c3>Lemaire</c3><c5>73, chemin Cousin</c5><c7>Girard</c7><c8>06996</c8><c31>20120814</c31><c48>TN0000304</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
305,"<row id=""305"" xml:space=""preserve""><c1>C100305</c1><c2>Guillaume</c2><c3>Marty</c3><c5>731, avenue Germain</c5><c7>Julien</c7><c8>27948</c8><c31>20121022</c31><c48>TN0000305</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
306,"<row id=""306"" xml:space=""preserve""><c1>C100306</c1><c2>Alfred</c2><c3>Grenier</c3><c5>54, rue Camus</c5><c7>Camus</c7><c8>44765</c8><c31>20231025</c31><c48>TN0000306</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
307,"<row id=""307"" xml:space=""preserve""><c1>C100307</c1><c2>Thierry</c2><c3>Renaud</c3><c5>81, avenue Benoit</c5><c7>Robert</c7><c8>95765</c8><c31>20070321</c31><c48>TN0000307</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
308,"<row id=""308"" xml:space=""preserve""><c1>C100308</c1><c2>Monique</c2><c3>Brun</c3><c5>721, avenue de Duhamel</c5><c7>Hernandezboeuf</c7><c8>78752</c8><c31>20140130</c31><c48>TN0000308</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
309,"<row id=""309"" xml:space=""preserve""><c1>C100309</c1><c2>Denis</c2><c3>Monnier</c3><c5>46, chemin Laine</c5><c7>Sainte Pierre-la-Forêt</c7><c8>27980</c8><c31>20240914</c31><c48>TN0000309</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
310,"<row id=""310"" xml:space=""preserve""><c1>C100310</c1><c2>Thérèse</c2><c3>Benard</c3><c5>10, rue Marguerite Diallo</c5><c7>Traoredan</c7><c8>97287</c8><c31>20240823</c31><c48>TN0000310</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
311,"<row id=""311"" xml:space=""preserve""><c1>C100311</c1><c2>Sylvie</c2><c3>Grenier</c3><c5>88, rue Marchand</c5><c7>Millet</c7><c8>05622</c8><c31>20120603</c31><c48>TN0000311</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
312,"<row id=""312"" xml:space=""preserve""><c1>C100312</c1><c2>Yves</c2><c3>Laroche</c3><c5>7, chemin Mathilde Chartier</c5><c7>Nguyenboeuf</c7><c8>39608</c8><c31>20070127</c31><c48>TN0000312</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
313,"<row id=""313"" xml:space=""preserve""><c1>C100313</c1><c2>Dorothée</c2><c3>Bouvet</c3><c5>44, boulevard Lucie Duhamel</c5><c7>Sainte Susanboeuf</c7><c8>89641</c8><c31>20241101</c31><c48>TN0000313</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
314,"<row id=""314"" xml:space=""preserve""><c1>C100314</c1><c2>Caroline</c2><c3>Rodriguez</c3><c5>512, rue Manon Lelièvre</c5><c7>Saint Marcel</c7><c8>61785</c8><c31>20171112</c31><c48>TN0000314</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
315,"<row id=""315"" xml:space=""preserve""><c1>C100315</c1><c2>Anaïs</c2><c3>Maury</c3><c5>4, rue Thomas Mathieu</c5><c7>Pinto-sur-Roche</c7><c8>72250</c8><c31>20151129</c31><c48>TN0000315</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
316,"<row id=""316"" xml:space=""preserve""><c1>C100316</c1><c2>Victoire</c2><c3>Henry</c3><c5>138, rue de Michaud</c5><c7>Dupuy</c7><c8>23730</c8><c31>20240525</c31><c48>TN0000316</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
317,"<row id=""317"" xml:space=""preserve""><c1>C100317</c1><c2>Jules</c2><c3>Bouchet</c3><c5>126, avenue Leconte</c5><c7>Vallée</c7><c8>97476</c8><c31>20090505</c31><c48>TN0000317</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
318,"<row id=""318"" xml:space=""preserve""><c1>C100318</c1><c2>Laurence</c2><c3>Lefort</c3><c5>53, chemin Anne Baron</c5><c7>Vasseur</c7><c8>42888</c8><c31>20150130</c31><c48>TN0000318</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
319,"<row id=""319"" xml:space=""preserve""><c1>C100319</c1><c2>Alexandria</c2><c3>Lecoq</c3><c5>20, chemin Martel</c5><c7>Richard</c7><c8>68106</c8><c31>20240503</c31><c48>TN0000319</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
320,"<row id=""320"" xml:space=""preserve""><c1>C100320</c1><c2>Franck</c2><c3>Poirier</c3><c5>boulevard Marine Leconte</c5><c7>BoutinVille</c7><c8>91869</c8><c31>20151231</c31><c48>TN0000320</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
321,"<row id=""321"" xml:space=""preserve""><c1>C100321</c1><c2>Suzanne</c2><c3>Torres</c3><c5>6, avenue Rémy</c5><c7>Chevalier</c7><c8>75560</c8><c31>20110405</c31><c48>TN0000321</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
322,"<row id=""322"" xml:space=""preserve""><c1>C100322</c1><c2>Susanne</c2><c3>Marin</c3><c5>25, rue de Guyon</c5><c7>Marionboeuf</c7><c8>94872</c8><c31>20230129</c31><c48>TN0000322</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
